tbl_id,proc_id,tbl_nm,st,county,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8
1189,48,"Emergency Aid to the Elderly, Disabled and Children (EAEDC)                                                                                                                                                                                                    ",MA                                                ,                                                  ,339,430,522,613,705,796,796,796
1190,430,Euclid Special Projects                                                                                                                                                                                                                                        ,OH                                                ,                                                  ,2800,3200,3600,4000,4000,4000,4000,4000
1191,56,Food Stamps 100% FPL (Net) (>= 60 or Disabled) - Updates October of current year                                                                                                                                                                               ,48 States                                         ,                                                  ,903,1215,1526,1838,2150,2461,2773,3085
1192,665,Food Stamps 100% FPL (Net) (>= 60 or Disabled) - Updates October of current year                                                                                                                                                                               ,AK                                                ,                                                  ,1128,1518,1908,2298,2688,3078,3468,3858
1193,666,Food Stamps 100% FPL (Net) (>= 60 or Disabled) - Updates October of current year                                                                                                                                                                               ,HI                                                ,                                                  ,1038,1397,1755,2113,2472,2830,3188,3547
1194,27,General Assistance Unemployable (Assets)                                                                                                                                                                                                                       ,WA                                                ,                                                  ,2000,3000,3050,3100,3150,3200,3250,3300
1195,49,General Assistance-Medical Care                                                                                                                                                                                                                                ,MN                                                ,                                                  ,482,602,731,854,957,1063,1168,1259
1196,662,GSK Access (48 states except HI and AK)                                                                                                                                                                                                                        ,                                                  ,                                                  ,2196,2942,3688,4433,5183,5933,6683,7433
1197,656,GSK Bridges to Access (48 states except HI and AK) - 250% FPL                                                                                                                                                                                                  ,                                                  ,                                                  ,2256,3035,3815,4594,5373,6152,6931,7710
1198,657,GSK Bridges to Access (AK) - 250% FPL                                                                                                                                                                                                                          ,                                                  ,                                                  ,2820,3795,4770,5745,6720,7695,8670,9645
1199,658,GSK Bridges to Access (HI) - 250% FPL                                                                                                                                                                                                                          ,                                                  ,                                                  ,2595,3493,4388,5283,6180,7075,7970,8868
1200,502,HI Rx Plus 350% HI FPL                                                                                                                                                                                                                                         ,HI                                                ,                                                  ,3634,4888,6143,7397,8651,9905,11159,12413
1201,514,HI SCHIP - 133% FPL                                                                                                                                                                                                                                            ,                                                  ,                                                  ,1326,1784,2243,2702,3161,3620,4079,4538
1202,34,HI Welfare Assistance                                                                                                                                                                                                                                          ,HI                                                ,                                                  ,1239,1674,2109,2543,2978,3413,3848,4282
1203,513,Husky Healthcare for Unisured Youth and Kids (SCHIP)                                                                                                                                                                                                           ,CT                                                ,                                                  ,3300,4150,5000,5850,6700,6700,6700,6700
1204,685,Hyalgan PAP 240% FPL--Alaska                                                                                                                                                                                                                                   ,                                                  ,                                                  ,2706,3642,4578,5514,6450,7386,8322,9258
1205,686,Hyalgan PAP 240% FPL--Hawaii                                                                                                                                                                                                                                   ,                                                  ,                                                  ,2492,3352,4212,5072,5932,6792,7652,8512
1206,684,Hyalgan PAP 240% of FPL                                                                                                                                                                                                                                        ,                                                  ,                                                  ,2167,2914,3662,4410,5158,5906,6654,7402
1207,167,ID Housekeeping Services                                                                                                                                                                                                                                       ,ID                                                ,                                                  ,1245,1677,2135,2513,2900,3300,3600,3900
1208,652,IL Cares Rx                                                                                                                                                                                                                                                    ,IL                                                ,                                                  ,2128,2823,3518,3518,3518,3518,3518,3518
1209,667,IL Circuit Breaker (tax)                                                                                                                                                                                                                                       ,IL                                                ,                                                  ,1852,2457,3062,3062,3062,3062,3062,3062
1210,517,IL TANF Asset Rule                                                                                                                                                                                                                                             ,                                                  ,                                                  ,2000,3000,3050,4000,4050,5000,5050,6000
1211,431,Illinois Corrected Medicaid Income Standards - (100% Poverty) + $25 + $20 disregards                                                                                                                                                                           ,IL                                                ,                                                  ,948,1259,1571,1883,2194,2506,2818,3129
1212,30,IN-Energy Assistance Program                                                                                                                                                                                                                                   ,IN                                                ,                                                  ,1044,1406,1769,2131,2494,2856,3218,3580
1213,1,Iowa Medically Needy                                                                                                                                                                                                                                           ,IA                                                ,                                                  ,503,503,586,686,753,836,911,995
1214,41,KS-General Assistance                                                                                                                                                                                                                                          ,KS                                                ,                                                  ,132,217,294,362,423,484,545,606
1215,40,KS-Medicaid Spendown                                                                                                                                                                                                                                           ,KS                                                ,                                                  ,495,495,500,517,578,639,700,761
1216,434,LASSET                                                                                                                                                                                                                                                         ,AK                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1217,433,LASSET                                                                                                                                                                                                                                                         ,AL                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1218,436,LASSET                                                                                                                                                                                                                                                         ,AR                                                ,                                                  ,3000,3000,3000,3000,3000,3000,3000,3000
1219,435,LASSET                                                                                                                                                                                                                                                         ,AZ                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1220,437,LASSET                                                                                                                                                                                                                                                         ,CA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1221,438,LASSET                                                                                                                                                                                                                                                         ,CO                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1222,439,LASSET                                                                                                                                                                                                                                                         ,CT                                                ,                                                  ,10000,10000,10000,10000,10000,10000,10000,10000
1223,441,LASSET                                                                                                                                                                                                                                                         ,DC                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1224,440,LASSET                                                                                                                                                                                                                                                         ,DE                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1225,442,LASSET                                                                                                                                                                                                                                                         ,FL                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1226,443,LASSET                                                                                                                                                                                                                                                         ,GA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1227,444,LASSET                                                                                                                                                                                                                                                         ,HI                                                ,                                                  ,4000,4000,4000,4000,4000,4000,4000,4000
1228,448,LASSET                                                                                                                                                                                                                                                         ,IA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1229,445,LASSET                                                                                                                                                                                                                                                         ,ID                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1230,446,LASSET                                                                                                                                                                                                                                                         ,IL                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1231,447,LASSET                                                                                                                                                                                                                                                         ,IN                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1232,449,LASSET                                                                                                                                                                                                                                                         ,KS                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1233,450,LASSET                                                                                                                                                                                                                                                         ,KY                                                ,                                                  ,4000,4000,4000,4000,4000,4000,4000,4000
1234,451,LASSET                                                                                                                                                                                                                                                         ,LA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1235,454,LASSET                                                                                                                                                                                                                                                         ,MA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1236,453,LASSET                                                                                                                                                                                                                                                         ,MD                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1237,452,LASSET                                                                                                                                                                                                                                                         ,ME                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1238,455,LASSET                                                                                                                                                                                                                                                         ,MI                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1239,456,LASSET                                                                                                                                                                                                                                                         ,MN                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1240,458,LASSET                                                                                                                                                                                                                                                         ,MO                                                ,                                                  ,3000,3000,3000,3000,3000,3000,3000,3000
1241,457,LASSET                                                                                                                                                                                                                                                         ,MS                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1242,459,LASSET                                                                                                                                                                                                                                                         ,MT                                                ,                                                  ,9378,14071,15009,15947,16885,17823,18761,18759
1243,466,LASSET                                                                                                                                                                                                                                                         ,NC                                                ,                                                  ,2200,2200,2200,2200,2200,2200,2200,2200
1244,467,LASSET                                                                                                                                                                                                                                                         ,ND                                                ,                                                  ,15000,15000,15000,15000,15000,15000,15000,15000
1245,460,LASSET                                                                                                                                                                                                                                                         ,NE                                                ,                                                  ,5000,5000,5000,5000,5000,5000,5000,5000
1246,462,LASSET                                                                                                                                                                                                                                                         ,NH                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1247,463,LASSET                                                                                                                                                                                                                                                         ,NJ                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1248,464,LASSET                                                                                                                                                                                                                                                         ,NM                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1249,461,LASSET                                                                                                                                                                                                                                                         ,NV                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1250,465,LASSET                                                                                                                                                                                                                                                         ,NY                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1251,468,LASSET                                                                                                                                                                                                                                                         ,OH                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1252,469,LASSET                                                                                                                                                                                                                                                         ,OK                                                ,                                                  ,2000,3000,3050,3100,3150,3200,3250,3330
1253,470,LASSET                                                                                                                                                                                                                                                         ,OR                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1254,471,LASSET                                                                                                                                                                                                                                                         ,PA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1255,472,LASSET                                                                                                                                                                                                                                                         ,RI                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1256,473,LASSET                                                                                                                                                                                                                                                         ,SC                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1257,474,LASSET                                                                                                                                                                                                                                                         ,SD                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1258,475,LASSET                                                                                                                                                                                                                                                         ,TN                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1259,476,LASSET                                                                                                                                                                                                                                                         ,TX                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1260,477,LASSET                                                                                                                                                                                                                                                         ,UT                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1261,479,LASSET                                                                                                                                                                                                                                                         ,VA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1262,478,LASSET                                                                                                                                                                                                                                                         ,VT                                                ,                                                  ,10000,10000,10000,10000,10000,10000,10000,10000
1263,480,LASSET                                                                                                                                                                                                                                                         ,WA                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1264,482,LASSET                                                                                                                                                                                                                                                         ,WI                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1265,481,LASSET                                                                                                                                                                                                                                                         ,WV                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1266,483,LASSET                                                                                                                                                                                                                                                         ,WY                                                ,                                                  ,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
1267,328,LIHEAP                                                                                                                                                                                                                                                         ,AK                                                ,,2537,3414,4292,5169,6047,6924,7802,8679
1268,327,LIHEAP                                                                                                                                                                                                                                                         ,AL                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1269,330,LIHEAP                                                                                                                                                                                                                                                         ,AR                                                ,,1128,1518,1907,2297,2686,3076,3466,3855
1270,329,LIHEAP                                                                                                                                                                                                                                                         ,AZ                                                ,,1805,2428,3052,3675,4298,4922,5545,6168
1271,331,LIHEAP                                                                                                                                                                                                                                                         ,CA                                                ,                                                  ,2431,3179,3927,4675,5423,6171,6311,6452
1272,332,LIHEAP                                                                                                                                                                                                                                                         ,CO                                                ,,1670,2246,2823,3400,3976,4553,5129,5706
1273,333,LIHEAP                                                                                                                                                                                                                                                         ,CT                                                ,,1805,2428,3052,3675,4298,4922,5545,6168
1274,335,LIHEAP                                                                                                                                                                                                                                                         ,DC                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1275,334,LIHEAP                                                                                                                                                                                                                                                         ,DE                                                ,,1805,2428,3052,3675,4298,4922,5545,6168
1276,336,LIHEAP                                                                                                                                                                                                                                                         ,FL                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1277,337,LIHEAP                                                                                                                                                                                                                                                         ,GA                                                ,,1788,2338,2889,3439,3989,4539,4642,4746
1278,338,LIHEAP                                                                                                                                                                                                                                                         ,HI                                                ,,1558,2095,2633,3170,3708,4245,4783,5320
1279,342,LIHEAP                                                                                                                                                                                                                                                         ,IA                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1280,339,LIHEAP                                                                                                                                                                                                                                                         ,ID                                                ,,1575,2059,2544,3028,3513,3997,4088,4179
1281,340,LIHEAP                                                                                                                                                                                                                                                         ,IL                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1282,341,LIHEAP                                                                                                                                                                                                                                                         ,IN                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1283,343,LIHEAP                                                                                                                                                                                                                                                         ,KS                                                ,                                                  ,1127,1517,1907,2297,2687,3077,3467,3857
1284,344,LIHEAP                                                                                                                                                                                                                                                         ,KY                                                ,,1173,1578,1984,2389,2794,3199,3604,4009
1285,345,LIHEAP                                                                                                                                                                                                                                                         ,LA                                                ,,1597,2089,2580,3072,3563,4055,4142,4231
1286,348,LIHEAP                                                                                                                                                                                                                                                         ,MA                                                ,,2427,3174,3921,4668,5414,6161,6301,6441
1287,347,LIHEAP                                                                                                                                                                                                                                                         ,MD                                                ,,1579,2124,2670,3215,3761,4306,4852,5397
1288,346,LIHEAP                                                                                                                                                                                                                                                         ,ME                                                ,,2076,2793,3509,4184,4854,5523,5649,5744
1289,349,LIHEAP                                                                                                                                                                                                                                                         ,MI                                                ,                                                  ,953,1283,1613,1943,2273,2603,2933,3263
1290,350,LIHEAP                                                                                                                                                                                                                                                         ,MN                                                ,,1808,2364,2920,3477,4033,4589,4694,4798
1291,352,LIHEAP                                                                                                                                                                                                                                                         ,MO                                                ,,1218,1639,2060,2481,2901,3322,3743,4164
1292,351,LIHEAP                                                                                                                                                                                                                                                         ,MS                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1293,353,LIHEAP                                                                                                                                                                                                                                                         ,MT                                                ,,1579,2125,2670,3216,3761,4306,4852,5397
1294,360,LIHEAP                                                                                                                                                                                                                                                         ,NC                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1295,361,LIHEAP                                                                                                                                                                                                                                                         ,ND                                                ,                                                  ,1778,2325,2872,3419,3966,4512,4615,4718
1296,354,LIHEAP                                                                                                                                                                                                                                                         ,NE                                                ,,1128,1518,1907,2297,2686,3076,3466,3855
1297,356,LIHEAP                                                                                                                                                                                                                                                         ,NH                                                ,,1805,2428,3052,3675,4298,4922,5545,6168
1298,357,LIHEAP                                                                                                                                                                                                                                                         ,NJ                                                ,,2031,2732,3434,4135,4836,5537,6239,6940
1299,358,LIHEAP                                                                                                                                                                                                                                                         ,NM                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
1300,355,LIHEAP                                                                                                                                                                                                                                                         ,NV                                                ,,1354,1821,2289,2756,3224,3691,4159,4626
